dopage_id,edition,athlete,country,medal,event,sport,sex
130,2012 Summer Olympics,Tatyana Lysenko,Russian Federation,Gold,"Athletics, Women's hammer throw",Athletics,Female
131,2012 Summer Olympics,Mariya Savinova,Russian Federation,Gold,"Athletics, Women's 800 m",Athletics,Female
132,2012 Summer Olympics,Yuliya Zaripova,Russian Federation,Gold,"Athletics, Women's 3000 m steeplechase",Athletics,Female
133,2012 Summer Olympics,Apti Aukhadov,Russian Federation,Silver,"Weightlifting, Men's 85 kg",Weightlifting,Male
134,2012 Summer Olympics,Aleksandr Ivanov,Russian Federation,Silver,"Weightlifting, Men's 94 kg",Weightlifting,Male
135,2012 Summer Olympics,Olga Kaniskina,Russian Federation,Silver,"Athletics, Women's 20 km walk",Athletics,Female
136,2012 Summer Olympics,Yevgeniya Kolodko,Russian Federation,Silver,"Athletics, Women's shot put",Athletics,Female
137,2012 Summer Olympics,Darya Pishchalnikova,Russian Federation,Silver,"Athletics, Women's discus throw",Athletics,Female
138,2012 Summer Olympics,Tatyana Tomashova,Russian Federation,Silver,"Athletics, Women's 1500 m",Athletics,Female
139,2012 Summer Olympics,"Relay team ( Antonina Krivoshapka , Yulia Gushchina , Tatyana Firova , Natalya Antyukh )",Russian Federation,Silver,"Athletics, Women's 4 × 400 m relay",Athletics,Female
140,2012 Summer Olympics,Svetlana Tsarukaeva,Russian Federation,Silver,"Weightlifting, Women's 63 kg",Weightlifting,Female
141,2012 Summer Olympics,Natalya Zabolotnaya,Russian Federation,Silver,"Weightlifting, Women's 75 kg",Weightlifting,Female
142,2012 Summer Olympics,Tatyana Chernova,Russian Federation,Bronze,"Athletics, Women's heptathlon",Athletics,Female
143,2012 Summer Olympics,Ekaterina Guliyev,Russian Federation,Bronze,"Athletics, Women's 800 m (Y) – 2 medals to be allocated",Athletics,Female
144,2012 Summer Olympics,Svetlana Shkolina,Russian Federation,Bronze,"Athletics, Women's high jump",Athletics,Female
145,2012 Summer Olympics,Ruslan Albegov,Russian Federation,Bronze,"Weightlifting, Men's +105 kg",Weightlifting,Male
146,2012 Summer Olympics,Asli Cakir Alptekin,Türkiye,Gold,"Athletics, Women's 1500 m",Athletics,Female
147,2012 Summer Olympics,Gamze Bulut,Türkiye,Silver,"Athletics, Women's 1500 m",Athletics,Female
148,2012 Summer Olympics,Relay team ( Tyson Gay ),United States,Silver,"Athletics, Men's 4 × 100 m relay",Athletics,Male
149,2012 Summer Olympics,Oleksiy Torokhtiy,Ukraine,Gold,"Weightlifting, Men's 105 kg",Weightlifting,Male
